ner,id,label,annotator,annotation_id
EURO 2021 : GIROUD PRÊT À INVITER BENZEMA AU KARTING,32177,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}, {""start"": 12, ""end"": 18, ""text"": ""GIROUD"", ""labels"": [""PERSON""]}, {""start"": 34, ""end"": 41, ""text"": ""BENZEMA"", ""labels"": [""PERSON""]}]",annan1608@icloud.com,616
EURO 2021 : LEGO DÉVOILE UN BALLON GÉANT,32207,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}, {""start"": 12, ""end"": 16, ""text"": ""LEGO"", ""labels"": [""ORGANIZATION""]}]",annan1608@icloud.com,646
EQUIPE DE FRANCE : LES BLEUS SE RÉGALENT CONTRE LE PAYS DE GALLES (3-0),32211,"[{""start"": 10, ""end"": 16, ""text"": ""FRANCE"", ""labels"": [""COUNTRY""]}, {""start"": 48, ""end"": 65, ""text"": ""LE PAYS DE GALLES"", ""labels"": [""STATE""]}]",annan1608@icloud.com,650
"EURO 2021 : ALLEMAGNE, ANGLETERRE, ESPAGNE, PORTUGAL… LES LISTES DE TOUTES LES SÉLECTIONS",32217,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}, {""start"": 12, ""end"": 21, ""text"": ""ALLEMAGNE"", ""labels"": [""COUNTRY""]}, {""start"": 23, ""end"": 33, ""text"": ""ANGLETERRE"", ""labels"": [""COUNTRY""]}, {""start"": 35, ""end"": 42, ""text"": ""ESPAGNE"", ""labels"": [""COUNTRY""]}, {""start"": 44, ""end"": 52, ""text"": ""PORTUGAL"", ""labels"": [""COUNTRY""]}]",annan1608@icloud.com,656
"EURO 2021 : ÉQUIPES, CALENDRIER, PROGRAMMATION TV... TOUT SAVOIR SUR LE GROUPE E",32218,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,657
"EURO 2021 : ÉQUIPES, CALENDRIER, PROGRAMMATION TV... TOUT SAVOIR SUR LE GROUPE DE LA FRANCE",32219,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,658
"EURO 2021 : ÉQUIPES, CALENDRIER, PROGRAMMATION TV... TOUT SAVOIR SUR LE GROUPE D",32220,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,659
"EURO 2021 : ÉQUIPES, CALENDRIER, PROGRAMMATION TV... TOUT SAVOIR SUR LE GROUPE C",32226,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,665
"EURO 2021 : ÉQUIPES, CALENDRIER, PROGRAMMATION TV... TOUT SAVOIR SUR LE GROUPE B",32229,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,668
"EURO 2021 : ÉQUIPES, CALENDRIER, PROGRAMMATION TV... TOUT SAVOIR SUR LE GROUPE A",32230,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,669
EURO 2021 : COCA-COLA LANCE SES CANETTES À L’EFFIGIE DES BLEUS,32231,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}, {""start"": 12, ""end"": 21, ""text"": ""COCA-COLA"", ""labels"": [""ORGANIZATION""]}]",annan1608@icloud.com,670
"FRANCE-PAYS DE GALLES, MATCH DE PRÉPARATION EURO 2021 : À QUELLE HEURE ET SUR QUELLE CHAÎNE ?",32234,"[{""start"": 0, ""end"": 6, ""text"": ""FRANCE"", ""labels"": [""COUNTRY""]}, {""start"": 7, ""end"": 21, ""text"": ""PAYS DE GALLES"", ""labels"": [""STATE""]}, {""start"": 49, ""end"": 53, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,673
EURO 2021 : VOICI LA PRIME QUE TOUCHERA CHAQUE JOUEUR DE L'ÉQUIPE DE FRANCE EN CAS DE VICTOIRE FINALE,32235,"[{""start"": 5, ""end"": 9, ""text"": ""2021"", ""labels"": [""DATE""]}]",annan1608@icloud.com,674
EQUIPE DE FRANCE : UN PREMIER TEST POUR LES BLEUS ET BENZEMA CONTRE LE PAYS DE GALLES,32223,"[{""start"": 53, ""end"": 60, ""text"": ""BENZEMA"", ""labels"": [""PERSON""]}, {""start"": 68, ""end"": 85, ""text"": ""LE PAYS DE GALLES"", ""labels"": [""STATE""]}]",annan1608@icloud.com,662
"OL-FLEURY, PSG-DIJON… 22E ET DERNIÈRE JOURNÉE DE D1 FÉMININE : À QUELLE HEURE ET SUR QUELLE CHAÎNE ?",32210,"[{""start"": 15, ""end"": 20, ""text"": ""DIJON"", ""labels"": [""CITY""]}]",annan1608@icloud.com,649
LA CHINE INTERDIT LE BITCOIN AUX INSTITUTIONS FINANCIÈRES,32157,"[{""start"": 0, ""end"": 8, ""text"": ""LA CHINE"", ""labels"": [""COUNTRY""]}]",annan1608@icloud.com,596
