Domaine	Title	Nb_words_title	Text	Nb_words_text	Tag	URL
france	«TOUT ÇA, C’EST ÉCRIT D’AVANCE» : LES PROPOS DE JEAN-LUC MÉLENCHON FONT POLÉMIQUE	13	"Le candidat de La France insoumise à la présidentielle, Jean-Luc Mélenchon, a prédit, dimanche 6 juin, «un grave incident» avant l'élection de 2022, affirmant que «tout ça , c'est écrit d'avance». Des propos qui ont aussitôt suscité la polémique. Invité dans l'émission «Questions politiques» sur France Inter et France Info, le chef de file des Insoumis a d'abord indiqué souhaiter qu'Emmanuel Macron «se représente», car «on aura de quoi dire» sur son «bilan». «Sinon, on nous sort un autre petit Macron du chapeau, (...) on ne sait pas qui c'est, pouf, il se fait élire président. C'est le système qui l'invente. La dernière fois, Macron, il est arrivé au dernier moment. Là, ils vont peut-être en trouver un autre», a-t-il poursuivi. «A chaque fois, ils en trouvent un. Dans tous les pays du monde, on a élu des petits Macron, il s'appellait Macri en Argentine, (...) c'était en Ukraine un type qui jouait dans une série de télévision (une allusion à Volodymyr Zelensky, élu en 2019). Dans tous les pays du monde, ils ont inventé un type comme ça, qui sortait de rien, et qui était porté par un système oligarchique», a ajouté Jean-Luc Mélenchon.  L'Insoumis en chef a ensuite précisé son propos. «De même que vous verrez que dans la dernière semaine de la campagne présidentielle, nous aurons un grave incident ou un meurtre. Ca a été Merah en 2012 (auteur jihadiste des tueries de Toulouse et de Montauban, notamment dans une école juive), ça a été l'attentat la dernière semaine sur les Champs Elysées (en 2017, un jihadiste assassine le policier Xavier Jugelé), avant on avait eu Papy Voise (Paul Voise, un retraité agressé chez lui à Orléans en avril 2002), dont plus personne n'a jamais entendu parler après. Tout ça, c'est écrit d'avance», a lancé alors le député LFI avant de conclure : «Nous aurons le petit personnage sorti du chapeau, nous aurons l'événement gravissime qui va une fois de plus permettre de montrer du doigt les musulmans et d'inventer une guerre civile, voilà, c'est bateau tout ca». Ces déclarations jugées «complotistes» ont suscité de nombreuses réactions indignées de la part de la classe politique mais aussi des familles de victimes d'attentat. Latifa Ibn Ziaten, dont le fils militaire, Imad, a été tué par Mohammed Merah, a dénoncé des propos «inadmissibles», réclamant du «respect pour les victimes». Les propos de Jean-Luc Melenchon sont inadmissibles et ne devraient même pas être tenus.


Je suis la mère de Imad, militaire mort debout face à l'obscurantisme en mars 2012. Le respect, c’est un minimum pour l’honneur de mon fils, des autres victimes et des familles endeuillées. https://t.co/AxU9OiVOMe — Latifa Ibn Ziaten (@LatifaIbnZ) June 6, 2021 De son côté, la cheffe du groupe PS à l'Assemblée Valérie Rabault, a déclaré que lorsqu'on «manie ainsi la démagogie, on ne peut prétendre à devenir président de la République». Elle juge «inacceptable» de «réduire les atrocités des attentats de Montauban et Toulouse en 2012 à de la machination électorale». Sur Twitter, Aurore Bergé (LREM) a aussi réagi en fustigeant ces propos. «On est vraiment au-delà de la honte», a-t-elle affirmé. Invitée dans la matinale de CNEWS, ce lundi 7 juin, la députée LFI de Seine-Saint-Denis Clémentine Autain s'est exprimée sur ces déclarations. «Jean-Luc Mélenchon n'est pas complotiste», a-t-elle notamment assuré.  Clémentine Autain : «Jean-Luc Mélenchon n'est pas complotiste», dans #LaMatinale pic.twitter.com/bLFx97guLn — CNEWS (@CNEWS) June 7, 2021 Le leader de la France Insoumise, a lui, répondu à la polémique sur Twitter. «Les complotistes anticomplotistes sont de sortie. Ils nient que les assassins font leur coup au moment qui fait parler d'eux. Propos ineptes. A moins que ce soit pour les couvrir».  Les complotistes anticomplotistes sont de sortie. Ils nient que les assassins font leur coup au moment qui fait parler d'eux. Propos ineptes. À moins que ce soit pour les couvrir. — Jean-Luc Mélenchon (@JLMelenchon) June 6, 2021"	646	POLITIQUE	https://www.cnews.fr/france/2021-06-07/tout-ca-cest-ecrit-davance-les-propos-de-jean-luc-melenchon-font-polemique-1089923
videos	SON ENTREPRISE EST SQUATTÉE ET SACCAGÉE, IL ATTAQUE L’ÉTAT	9		1	JUSTICE	https://www.cnews.fr/videos/france/2021-06-07/son-entreprise-est-squattee-et-saccagee-il-attaque-letat-1089926
france	CLÉMENTINE AUTAIN SUR LA POLÉMIQUE AUTOUR DES PROPOS DE JEAN-LUC MÉLENCHON : « IL N'EST PAS COMPLOTISTE»	17	Clémetine Autain était l'invitée de Laurence Ferrari dans La Matinale sur CNEWS. La députée LFI de Seine-Saint-Denis (93) s'est exprimée sur les propos polémiques de Jean-Luc Mélenchon. Retrouvez l'interview complète de Clémentine Autain «Jean-Luc Mélenchon n'est pas complotiste», a-t-elle notamment dit. «Vous verrez que dans la dernière semaine de la campagne présidentielle, nous aurons un grave incident ou un meurtre», pour «montrer du doigt les musulmans», «tout ça c'est écrit d'avance», avait affirmé Jean-Luc Mélenchon dimanche. La sortie de Jean-Luc Mélenchon a suscité une série de réactions indignées. Latifa Ibn Ziaten, dont le fils militaire a été tué par Mohammed Merad, a dénonçé des propos «inadmissibles», réclamant du «respect pour les victimes».  «Quand on manie ainsi la démagogie, on ne peut prétendre à devenir président de la Republique», a fustigé la cheffe du groupe PS à l'Assemblée Valérie Rabault, jugeant «inacceptable» de «réduire les atrocités des attentats de Montauban et Toulouse en 2012 à de la machination électorale». «On est vraiment au-delà de la honte», a aussi réagi la LREM Aurore Bergé sur Twitter. «Les complotistes anticomplotistes sont de sortie. Ils nient que les assassins font leur coup au moment qui fait parler d'eux. Propos ineptes. À moins que ce soit pour les couvrir», a répondu Jean-Luc Mélenchon, sur le même réseau social, citant comme source d'inspiration un article du Figaro sur «les attentats et faits divers qui ont bouleversé les campagnes présidentielles».  	236	INTERVIEW	https://www.cnews.fr/france/2021-06-07/clementine-autain-sur-la-polemique-autour-des-propos-de-jean-luc-melenchon-il-nest
france	LES 5 BIENFAITS INSOUPÇONNÉS DU POIVRE SUR LA SANTÉ	9	Originaire de l'ouest de l'Inde, le poivre est parfait pour relever le goût des plats. Mais ce n’est pas son seul atout. Côté santé et beauté, il possède de multiples vertus. Tout d’abord, il facilite la digestion. Et pour cause, il augmente la production de salive et les sécrétions gastriques. Il permet aussi de prévenir les ballonnements, les flatulences, ainsi que la constipation, et peut se révéler très efficace en cas de nausées. Grâce à sa pipérine, l'alcaloïde qui lui confère son goût piquant, le poivre soulage d’autre part les douleurs articulaires, comme l’arthrite par exemple. Cet actif agit en effet comme un antidouleur et antiinflammatoire. A noter que vous pouvez le consommer en infusion en versant quelques grains dans de l'eau bouillante. Autre avantage de cette épice, et non des moindres, elle stimule la production d'endorphines, les hormones du bonheur secrétées par le cerveau. Et ce, toujours grâce à la pipérine. C’est donc un condiment de choix en cas de stress ou de coup de blues passager. Riche en antioxydants, le poivre a également des effets sur la peau. Plus précisément, il aide à limiter le développement des radicaux libres, molécules responsables du vieillissement cellulaire, ce qui en fait un bon anti-âge. Enfin, le poivre a un fort pouvoir antibactérien et permet ainsi de soulager les douleurs dentaires. En cas de rage de dent, il est conseillé d'imbiber un coton-tige avec quelques gouttes d'huile essentielle de menthe poivrée, puis de l'appliquer sur la zone à traiter.	247	SANTE	https://www.cnews.fr/france/2021-06-07/les-5-bienfaits-insoupconnes-du-poivre-sur-la-sante-1088883
videos	YONNE : VIOLENCES NOCTURNES DANS UN QUARTIER DE SENS	9		1	FAITS DIVERS	https://www.cnews.fr/videos/france/2021-06-07/yonne-violences-nocturnes-dans-un-quartier-de-sens-1089899
videos	PARIS : DES ATELIERS VÉLOS NON-MIXTES SUSCITENT LA POLÉMIQUE	9		1	ILE-DE-FRANCE	https://www.cnews.fr/videos/france/2021-06-07/paris-des-ateliers-velos-non-mixtes-suscitent-la-polemique-1089896
france	COUVRE-FEU À 23 HEURES : QUEL TEMPS FERA-T-IL LE 9 JUIN ?	12	La prochaine étape du déconfinement a lieu ce mercredi 9 juin, avec notamment le décalage du couvre-feu à 23 heures, mais aussi l'ouverture des salles de restaurants et des salles de sport. Le beau temps et la chaleur seront au rendez-vous. Après une semaine marquée par les orages, le soleil va faire son retour dans l’Hexagone, pour le plus grand plaisir des Français qui vont pouvoir profiter un peu plus longtemps des terrasses et des restaurants à compter de mercredi. Selon les prévisions de Météo France, le temps sera idéal sur une grande majorité du territoire, grâce à l’anticyclone des Açores. Les températures de l’après-midi pourront atteindre 26°C dans le nord et l’ouest de la France, jusqu’à 29°C à Paris. Le sud-est sera marqué par la chaleur, avec des températures allant jusqu’à 32°C à Perpignan, Montpellier et Marseille. Le soleil sera au rendez-vous mercredi après-midi sur l’ensemble du territoire, avec tout de même quelques nuages à l’est, et de rares averses ou orages dans l’après-midi et la soirée en région PACA, Bourgogne-Franche-Comté et Auvergne-Rhône-Alpes. Des rafales allant de 40 à 50km/h pourront cependant se faire ressentir du côté de Montpellier, Perpignan, Montélimar, et La Rochelle. La soirée de mercredi sera tout aussi douce, avec les températures toujours assez élevées et du soleil : 26 à Paris, 23 à Rennes, 26 à Lyon, 27 à Bourges, 24 à Strasbourg, et 18 à Brest. Ce temps estival devrait en plus se poursuivre tout le reste de la semaine, avec des températures encore chaudes le week-end du 12 et 13 juin et du soleil sur la majorité du territoire. Le mercure devrait même continuer à monter la semaine prochaine, avoisinant les 30°C dans de nombreux départements. De quoi permettre aux Français de pleinement profiter d'activités en extérieur, après plusieurs semaines de confinement et un temps qui n’était pas toujours au beau fixe depuis la réouverture.	312	MÉTÉO	https://www.cnews.fr/france/2021-06-07/couvre-feu-23-heures-quel-temps-fera-t-il-le-9-juin-1089725
videos	ASSASSINAT DU POLICIER XAVIER JUGELÉ : 4 HOMMES DEVANT LA JUSTICE	11		1	TERRORISME	https://www.cnews.fr/videos/france/2021-06-07/assassinat-du-policier-xavier-jugele-4-hommes-devant-la-justice-1089893
france	LA FRANCE RESTE LE PAYS D'EUROPE LE PLUS ATTRACTIF POUR LES INVESTISSEURS ÉTRANGERS	13	Un cocorico pour l'économie tricolore. La France a conservé en 2020 son statut de pays d'Europe le plus attractif pour les investisseurs étrangers, acquis en 2019, selon le dernier baromètre du cabinet de conseil EY, dévoilé ce lundi. L'an dernier, 985 projets d'investissements étrangers, c'est-à-dire d'implantation ou d'extension de sites industriels, ont été annoncés en France, contre 975 au Royaume-Uni et 930 en Allemagne, qui complètent le podium. Si Paris reste leader de ce classement, notre pays a davantage subi le contrecoup de la pandémie de coronavirus que ses voisins. Entre 2019 et 2020, le nombre d'investissements étrangers y a chuté de 18 %, contre 12 % au Royaume-Uni et 4 % en Allemagne. «La réduction de voilure est importante car la France accueille beaucoup d'équipementiers, de sous-traitants, de prestataires de services dans les industries automobile, aéronautique et touristique, qui ont été particulièrement touchées par la crise du Covid-19», explique à CNEWS Marc Lhermitte, associé chez EY. La gestion sanitaire ou économique de la pandémie n'est donc pas en cause, souligne le responsable du programme attractivité chez EY. Au contraire même, puisque 44 % des 200 dirigeants internationaux interrogés par le cabinet d'audit et de conseil jugent que le plan de relance français de 100 milliards d'euros, ainsi que les mesures de soutien à l'économie durant la pandémie de Covid-19, ont été plus performants que ce qui s'est fait dans les autres pays (contre 10 % qui estiment qu'ils ont été moins performants). La place de numéro un de la France dans le cœur des investisseurs étrangers peut paraître surprenante aux yeux de certains observateurs français, qui ne cessent de critiquer notre manque de compétitivité face au rival et partenaire allemand, ou qui imaginent notre image écornée par le climat social tendu (comme en témoignent ces dernières années la crise des gilets jaunes ou les manifestations contre la réforme des retraites). Elle s'explique par les sérieux atouts dont dispose notre pays, note Marc Lhermitte, qui en cite trois majeurs : le fait que la France soit «la deuxième économie européenne, qui est elle-même la première économie mondiale», «le niveau et la variété des compétences» et «l'innovation technologique», auxquels s'ajoutent selon lui «les efforts menés depuis quatre à cinq ans pour améliorer la compétitivité sur les plans fiscal et social». Si, on l'a dit, l'automobile et l'aéronautique ont plongé en matière d'investissements étrangers en 2020, d'autres secteurs, au contraire, ont bien résisté, voire se sont développés en 2020, malgré la crise du coronavirus. Il s'agit principalement des industries de la santé (pharmacie et équipements médicaux) et des activités tirées par le boom du commerce en ligne (habillement, ameublement...). Quant à la répartition géographique des investissements, elle ne bouge pas : l'Ile-de-France, l'Auvergne-Rhône-Alpes et les Hauts-de-France restant au sommet. Si la France «résiste dans la crise et a plutôt gardé la confiance des investisseurs», résume Marc Lhermitte, il ne faut pas s'attendre à ce que tout rentre rapidement dans l'ordre. «Ce Covid économique va être un peu long», souligne-t-il. Sept dirigeants sur dix interrogés par EY ne prévoient pas un retour à la normale en matière d'investissements avant 2022, et même avant le second semestre 2022 pour un tiers d'entre eux. Les prochains mois seront donc décisifs pour montrer que la France reste «ouverte au business», selon Marc Lhermitte. Après la compétition de la relance, place à la compétition de la sortie de crise.	562	ECONOMIE	https://www.cnews.fr/france/2021-06-07/la-france-reste-le-pays-deurope-le-plus-attractif-pour-les-investisseurs-etrangers
france	LA PMA POUR TOUTES DE RETOUR DEVANT L’ASSEMBLÉE	8	L'Assemblée nationale se penche à partir de ce lundi après-midi en nouvelle lecture sur le projet de loi de bioéthique et sa mesure phare d'ouverture de la PMA à toutes les femmes. Le gouvernement table sur une adoption définitive avant la pause estivale de ce texte porteur de la première et probablement seule grande réforme de société du quinquennat. C'est le troisième examen du texte par les députés, depuis le démarrage de son parcours parlementaire à l'automne 2019. Les temps de parole pour les groupes politiques seront limités au total à douze heures et demie, jusqu'à vendredi. La traduction de la promesse de campagne d'Emmanuel Macron a pris du retard en raison de la crise du Covid-19. Un poids lourd de la majorité espère tenir le cap : «Je voudrais qu'un bébé PMA naisse avant le premier tour de la présidentielle!». Fabien Joly, de l'association des familles homoparentales, pousse lui «un ouf de soulagement : cette loi va finalement être adoptée, les jeux sont faits». Cependant, l'opposition de droite n'a pas dit son dernier mot. En remettant le sujet à l'ordre du jour, «l'exécutif fait preuve d'une absence catastrophique de sens des priorités et des responsabilités» au regard notamment de la crise sanitaire, ont estimé quelque 80 parlementaires LR dans une tribune récente à La Croix. Ces élus, dont les députés en première ligne Patrick Hetzel et Xavier Breton, ainsi que le patron des sénateurs LR Bruno Retailleau, jugent que «le gouvernement veut passer en force sur le projet de loi bioéthique, ce qui est inconcevable pour un sujet aussi sensible». Ils suggèrent de laisser plutôt «place à un vrai débat démocratique en 2022». La Manif pour tous, vent debout contre l'ouverture de la procréation médicalement assistée aux couples de lesbiennes et aux femmes célibataires, a appelé à manifester ce lundi et demain soir aux abords du Palais Bourbon «pour défendre l'égalité des droits pour tous les enfants, à commencer par celui d'avoir un père et une mère». En première lecture il y a un an, le Sénat dominé par la droite avait voté le projet de loi avec sa mesure d'ouverture de la PMA, excluant toutefois la prise en charge par la Sécurité sociale. Mais en deuxième lecture en début d'année, les sénateurs ont adopté dans la confusion le texte amputé de cette mesure emblématique. Députés et sénateurs ne sont pas parvenus à un texte de compromis, d'où une dernière navette, avec un examen ensuite au Sénat le 24 juin et in fine le dernier mot pour l'Assemblée. Outre l'ouverture de la PMA, le projet gouvernemental prévoit une délicate réforme de la filiation et de l'accès aux origines, et aborde nombre de sujets complexes comme l'autoconservation des ovocytes ou la recherche sur les cellules souches embryonnaires. Le trio de ministres Olivier Véran (Santé), Eric Dupond-Moretti (Justice) et Frédérique Vidal (Recherche) pilote ces différents volets. Lors du tour de chauffe en commission spéciale au cours de la semaine écoulée, les députés ont rétabli leur version et supprimé les ajouts du Sénat comme la mention qu'«il n'existe pas de droit à l'enfant». Une nouvelle fois, a ressurgi le débat sur la GPA (gestation pour autrui, c'est-à-dire par mère porteuse), interdite en France. Les élus LR ont dénoncé une «duplicité» de la majorité, du fait notamment de la reconnaissance possible de la filiation des enfants nés par GPA à l'étranger, que les députés ont gravée dans le projet de loi en deuxième lecture pour unifier les décisions de justice sur la question.	580	LOI	https://www.cnews.fr/france/2021-06-07/la-pma-pour-toutes-de-retour-devant-lassemblee-1089668
